name,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
valuengo,38.301870679,-6.67658085999994,guadiana,rio ardila,,,,badajoz,extremadura,presa fabrica gravedad (hormigon vibrado),143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=992
agrio,37.5322020510001,-6.28346466799997,guadalquivir,rio  crispinejo o agrio,,,,sevilla,andalucia,presa materiales sueltos pantalla asfaltica,143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1765
cubillas,37.274509489,-3.68317058099996,guadalquivir,rio  cubillas,,,https://www.wikidata.org/wiki/Q5369439,granada,andalucia,presa materiales sueltos homogenea,426.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1515
gargaligas,39.1890571110001,-5.35996145499996,guadiana,rio gargaligas,,,,badajoz,extremadura,presa materiales sueltos homogenea,360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=988
santomera,38.0953790500001,-1.08850565499995,segura,rambla salada,https://www.google.com/search?kgmid=/g/1211r6xt,,https://www.wikidata.org/wiki/Q5476272,murcia,region murcia,presa fabrica gravedad (hormigon vibrado),110.54,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2053
banos montemayor,40.281682582,-5.89538451999994,tajo,rio banos,,,https://www.wikidata.org/wiki/Q24174597,caceres,extremadura,presa materiales sueltos zonificada o nucleo,372.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=566
colomera,37.3996522370001,-3.72326104199993,guadalquivir,rio  colomera,,,https://www.wikidata.org/wiki/Q12164809,granada,andalucia,presa materiales sueltos zonificada o nucleo,369.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1513
gasset,39.1285987630001,-3.93764624399995,guadiana,rio becea,,,,ciudad real,castilla   mancha,presa materiales sueltos zonificada o nucleo,689.879999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1127
marisanchez,38.692281984,-3.27666098199995,guadiana,rio jabalon,,,,ciudad real,castilla   mancha,presa materiales sueltos homogenea,719.549999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1093
ruecas,39.267439745,-5.49598021299994,guadiana,rio ruecas,,,,caceres,extremadura,presa fabrica gravedad (hormigon vibrado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1062
frieira,42.1557461190001,-8.19287681099996,mino sil,rio mino,,,,ourense,galicia,presa fabrica gravedad (hormigon vibrado),90.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=168
celemin,36.299322019,-5.77443215499994,guadalete y barbate,rio celemin,,,https://www.wikidata.org/wiki/Q5369436,cadiz,andalucia,presa materiales sueltos homogenea,107.2,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1357
algeciras  rambla,37.887515039,-1.38566705299996,segura,rambla algeciras,,,,murcia,region murcia,presa materiales sueltos homogenea,138.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2071
san sebastian,42.1443419570001,-6.94769548399995,mino sil,rio bibei,,,,ourense,galicia,presa fabrica contrafuertes,847.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=206
riosequillo,40.9846013600001,-3.64825393599995,tajo,rio lozoya,https://www.google.com/search?kgmid=/g/12221s57,,https://www.wikidata.org/wiki/Q2834413,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),955.22,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=782
penarroya,39.0603072490001,-3.00679625799995,guadiana,rio guadiana,https://www.google.com/search?kgmid=/g/11fv3ymg__,,https://www.wikidata.org/wiki/Q97172835,ciudad real,castilla   mancha,presa fabrica gravedad (hormigon vibrado),719.549999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1106
belena,40.9338651420001,-3.19600748099998,tajo,rio sorbe,,,,guadalajara,castilla   mancha,presa materiales sueltos zonificada o nucleo,906.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=747
bolera,37.7622489710001,-2.90313354799997,guadalquivir,rio  guadalentin,,,,jaen,andalucia,presa fabrica gravedad (hormigon vibrado),956.299999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1538
beznar,36.9152042690001,-3.54016190699997,cuencas mediterraneas andaluzas,rio izbor,,,https://www.wikidata.org/wiki/Q3374703,granada,andalucia,presa fabrica boveda,426.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1950
linares arroyo,41.527351971,-3.55592977299995,duero,rio riaza,,,,segovia,castilla y leon,presa fabrica gravedad (hormigon vibrado),955.22,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=420
vado,41.0034892630001,-3.30090199199998,tajo,rio jarama,https://www.google.com/search?kgmid=/g/121y9t2q,,https://www.wikidata.org/wiki/Q8775322,guadalajara,castilla   mancha,presa fabrica gravedad (hormigon vibrado),955.22,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=767
minilla,37.664790501,-6.18562063899998,guadalquivir,rivera huelva,,,,sevilla,andalucia,presa fabrica gravedad (hormigon vibrado),143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1728
francisco abellan,37.3127246610001,-3.25361574599998,guadalquivir,rio  fardes,,,https://www.wikidata.org/wiki/Q5369442,granada,andalucia,presa materiales sueltos zonificada o nucleo,369.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1525
sancho,37.4610614040001,-6.98278512099995,tinto  odiel y piedras,rivera meca,,,,huelva,andalucia,presa fabrica gravedad (hormigon vibrado),10.34,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1263
jarrama,37.667643459,-6.50982948899997,tinto  odiel y piedras,rivera jarrama,,,,huelva,andalucia,presa materiales sueltos zonificada o nucleo,143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1256
castrejon,39.833565075,-4.29494820899993,tajo,rio tajo,,https://www.openstreetmap.org/relation/5824854,https://www.wikidata.org/wiki/Q19428713,toledo,castilla   mancha,presa materiales sueltos homogenea,607.6,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=888
vega jabalon,38.7610742730001,-3.78659975599993,guadiana,rio jabalon,,,,ciudad real,castilla   mancha,presa materiales sueltos zonificada o nucleo,719.549999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1134
navalcan,40.0482099480001,-5.14236058399996,tajo,rio guadyerbas,,,,toledo,castilla   mancha,presa fabrica gravedad (hormigon vibrado),308.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=864
molinos matachel,38.5329287000001,-6.12167919199993,guadiana,rio matachel,,,,badajoz,extremadura,presa materiales sueltos zonificada o nucleo,503.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1007
nuestra senora agavanzal,41.9780455630001,-6.14139184999993,duero,rio tera,,,,zamora,castilla y leon,presa fabrica gravedad (hormigon vibrado),1009.89999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=486
gergal,37.5672733050001,-6.04905378099994,guadalquivir,rivera huelva,,,,sevilla,andalucia,presa fabrica arco gravedad,143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1678
casares arbas,42.92752926,-5.75913376799997,duero,rio casares,,,,leon,castilla y leon,presa fabrica arco gravedad,1149.75999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=293
atance,41.075332577,-2.78506228099997,tajo,rio salado,https://www.google.com/search?kgmid=/g/1217c8pr,,https://www.wikidata.org/wiki/Q6429110,guadalajara,castilla   mancha,presa fabrica gravedad (hormigon compactado),803.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=753
pinilla,40.944954572,-3.77411887299996,tajo,rio lozoya,https://www.google.com/search?kgmid=/g/12333j1q,,https://www.wikidata.org/wiki/Q8775372,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),906.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=823
arbon,43.4770926850001,-6.73016840999998,cantabrico occidental,rio navia,,,,asturias,principado asturias,presa materiales sueltos zonificada o nucleo,961.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=140
