id,scope,name,capacity,electric_flag
396,ebro,pajares,36,0
397,ebro,pena,15,0
398,ebro,vadiello,16,0
400,cantabrico occidental,cohilla,12,1
401,cantabrico occidental,salime,266,1
402,guadalquivir,bermejales,103,0
403,guadalquivir,brena ii,823,0
405,guadalquivir,portillo,33,0
408,guadalquivir,giribaile,491,0
409,guadalquivir,jandula,325,0
413,guadalquivir,san clemente,120,0
418,guadiana,brovales,7,0
425,guadiana,zujar,723,0
426,mino   sil,barcena,341,0
428,mino   sil,pias (san agustin),10,1
429,duero,arlanzon,23,0
430,duero,castro cogotas,59,0
433,tajo,atance,35,0
434,tajo,molino chincha,6,1
435,tajo,picadas,15,0
436,tajo,portina,5,0
437,segura,taibilla,10,0
439,ebro,lanuza,17,0
440,ebro,llauset,17,1
441,ebro,nagore,5,0
443,ebro,mequinenza,1534,1
444,cantabrico occidental,alsa   mediajo,33,1
445,cantabrico oriental,anarbe,44,0
447,ebro,yesa,470,0
448,ebro,sistema valle aran,23,1
449,cuencas internas pais vasco,urkulu,10,0
451,cantabrico oriental,ibiur,8,0
452,mino   sil,montefurado,11,1
453,duero,agueda,24,0
455,duero,cernadilla,255,1
458,tajo,azutan,113,1
461,ebro,albina,6,0
462,ebro,bubal,64,0
465,galicia costa,eume,123,1
467,cuencas internas cataluna,sant ponc,25,0
468,ebro,terradets,33,1
471,guadalquivir,francisco abellan,58,0
474,guadalquivir,melonares,186,0
475,guadalquivir,rumblar,140,0
476,guadalquivir,san rafael navallana,157,0
478,cuenca mediterranea andaluza,conde guadalhorce,83,0
487,mino   sil,conchas,80,1
488,mino   sil,sequeiros,11,1
489,duero,barrios luna,308,0
490,duero,rabanos,8,1
492,tajo,palmaces,31,0
493,tajo,rosarito,93,0
495,tajo,valdecanas,1446,1
497,segura,camarillas,37,0
498,segura,cierva,7,0
499,segura,argos,11,0
503,ebro,san bartolome,6,0
506,ebro,sistema alto caldares,18,1
508,ebro,sobron,20,1
509,cantabrico occidental,alfilorios,9,0
512,guadalquivir,martin gonzalo,20,0
513,guadalquivir,pintado,215,0
