id,scope,name,capacity,electric_flag,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report,real_name
26,tajo,entrepenas,886,0,40.4930851390001,-2.75082189599993,tajo,rio tajo,https://www.google.com/search?kgmid=/g/120jr2sg,https://www.openstreetmap.org/relation/1326855,https://www.wikidata.org/wiki/Q8775330,guadalajara,castilla   mancha,presa fabrica gravedad (hormigon vibrado),905.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=752,Entrepeñas
29,tajo,valdeobispo,53,0,40.099036471,-6.25053019799998,tajo,rio alagon,,,,caceres,extremadura,presa fabrica gravedad (hormigon vibrado),312.0,57.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=555,Valdeobispo
32,segura,talave,35,0,38.5085969190001,-1.86470514699994,segura,rio mundo,https://www.google.com/search?kgmid=/g/122sg9_l,,https://www.wikidata.org/wiki/Q5830460,albacete,castilla   mancha,presa fabrica mamposteria,512.399999999999,46.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2007,Talave
34,jucar,arenos,137,0,40.086011408,-0.548482762999924,jucar,riu mijares,,,https://www.wikidata.org/wiki/Q3376336,castellon,comunitat valenciana,presa materiales sueltos zonificada o nucleo,603.0,107.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2267,Arenós
36,jucar,cortes ii,118,1,39.261640399,-0.918337680999969,jucar,rio jucar,https://www.google.com/search?kgmid=/g/122vx4f2,,https://www.wikidata.org/wiki/Q11681442,valencia,comunitat valenciana,presa fabrica arco gravedad,332.0,116.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2313,Cortes II
38,jucar,contreras,874,0,39.5432230330001,-1.51032713299998,jucar,rio cabriel,,,,cuenca,castilla   mancha,presa fabrica gravedad (hormigon vibrado),679.0,43.3999999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2315,Contreras
40,jucar,guadalest,13,0,38.679938329,-0.19178029699998,jucar,riu beniarda o guadalest,https://www.google.com/search?kgmid=/g/122vxrxt,,https://www.wikidata.org/wiki/Q3373919,alicante,comunitat valenciana,presa fabrica gravedad (hormigon vibrado),320.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2243,Guadalest
42,jucar,ulldecona,11,0,40.670915209,0.233962578000046,jucar,riu senia,,,https://www.wikidata.org/wiki/Q202052,castellon,comunitat valenciana,presa fabrica gravedad (hormigon vibrado),479.029999999999,58.6599999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2266,Ulldecona
44,ebro,barasona,92,0,42.124230776,0.311147826000024,ebro,rio esera,https://www.google.com/search?kgmid=/g/11cn63j7jr,,https://www.wikidata.org/wiki/Q24003136,huesca,aragon,presa fabrica gravedad (hormigon vibrado),448.99,65.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2434,Barasona
46,ebro,calanda,54,0,40.9154746140001,-0.211212751999938,ebro,rio guadalope,,,,teruel,aragon,presa materiales sueltos zonificada o nucleo,443.5,63.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2800,Calanda
47,ebro,cueva foradada,29,0,40.9872073600001,-0.692681022999977,ebro,rio martin,https://www.google.com/search?kgmid=/g/1tc_sbl8,,https://www.wikidata.org/wiki/Q85913248,teruel,aragon,presa fabrica mamposteria,581.929999999999,65.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2795,Cueva Foradada
48,ebro,cavallers,16,1,42.58555584,0.854115437000075,ebro,noguera tor,,,,lleida,cataluna,presa fabrica contrafuertes,1783.5,70.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2593,Cavallers
50,ebro,puente santolea,18,0,-0.353888503773526,40.74224755,jucar,riu amadorio,,,,teruel,aragon,,320.649999999999,,,Puente de Santolea
51,ebro,san salvador,137,0,0.2010957767511995,41.7814088,jucar,riu amadorio,,,,huesca,aragon,,320.649999999999,,,San Salvador
52,ebro,urdalur,6,0,42.916911187,-2.23343148499993,ebro,rio altzania,,,,navarra,comunidad foral navarra,presa fabrica gravedad (hormigon compactado),652.0,55.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2742,Urdalur
54,ebro,sistema lagos espot,10,1,1.003018,42.581771,jucar,riu amadorio,,,,lleida,cataluna,,320.649999999999,,,Sistema Lagos Espot
55,ebro,sotonera,189,0,42.102575195,-0.676812114999962,ebro,arroyo aston vacas,https://www.google.com/search?kgmid=/g/11h5_w0rnw,https://www.openstreetmap.org/relation/5895940,https://www.wikidata.org/wiki/Q12221153,huesca,aragon,presa materiales sueltos homogenea,420.0,34.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2451,Sotonera
58,cantabrico oriental,ordunte,22,0,43.1604152670001,-3.28388846399997,cantabrico oriental,rio ordunte,,,,burgos,castilla y leon,presa fabrica gravedad (hormigon vibrado),310.0,55.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=13,Ordunte
60,guadalquivir,cala,59,1,37.7222268940001,-6.08896625199998,guadalquivir,rivera cala,,,,sevilla,andalucia,presa fabrica gravedad (hormigon vibrado),143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1688,Cala
