id,scope,name,capacity,electric_flag,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
95,cuencas internas cataluna,riudecanyes,5.0,0,41.133459546,0.958540952000021,cuencas internas cataluna,riera riudecanyes,,,,tarragona,cataluna,presa fabrica mamposteria,220.5,51.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2918
96,galicia costa,portodemouros,297.0,1,42.856207614,-8.19033879699998,galicia costa,rio ulla,https://www.google.com/search?kgmid=/g/122wt42q,https://www.openstreetmap.org/relation/1636984,https://www.wikidata.org/wiki/Q49691,pontevedra,galicia,presa materiales sueltos zonificada o nucleo,257.0,91.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=3096
97,cuencas internas cataluna,boadella,62.0,0,,,,,,,,girona,cataluna,,,,
98,ebro,tranquera,84.0,0,41.262569371,-1.79716175699997,ebro,rio piedra,https://www.google.com/search?kgmid=/g/122v8m7x,,https://www.wikidata.org/wiki/Q5830513,zaragoza,aragon,presa fabrica gravedad (hormigon vibrado),687.5,80.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2821
100,guadalquivir,arenoso,167.0,0,38.0210076590001,-4.44123809399997,guadalquivir,rio  arenoso,,,https://www.wikidata.org/wiki/Q3376336,cordoba,andalucia,presa materiales sueltos zonificada o nucleo,215.0,77.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1463
108,guadalquivir,sierra boyera,41.0,0,38.2579828190001,-5.22281439599993,guadalquivir,rio  guadiato,,,https://www.wikidata.org/wiki/Q5369459,cordoba,andalucia,presa mixta,503.0,33.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1433
109,guadalquivir,zufre,179.0,0,,,,,,,,leon,castilla y leon,,,,
113,guadalete barbate,barbate,228.0,0,36.37044293,-5.74144173299993,guadalete y barbate,rio barbate,https://www.google.com/search?kgmid=/g/11fx7tz183,,https://www.wikidata.org/wiki/Q5369432,cadiz,andalucia,presa materiales sueltos homogenea,107.2,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1334
114,guadiana,aguijon,11.0,0,38.473447859,-6.92088528799997,guadiana,rio alcarrache,,,,badajoz,extremadura,presa fabrica gravedad (hormigon vibrado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=972
115,guadiana,canchales,26.0,0,38.964354455,-6.52263624799997,guadiana,rio lacara,https://www.google.com/search?kgmid=/g/11b6x7ykth,https://www.openstreetmap.org/relation/2082226,https://www.wikidata.org/wiki/Q18753075,badajoz,extremadura,presa fabrica gravedad (hormigon compactado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=953
117,guadiana,serena,3219.0,0,38.9127291240001,-5.41330542299994,guadiana,rio zujar,https://www.google.com/search?kgmid=/g/122dlpnz,,https://www.wikidata.org/wiki/Q3373806,badajoz,extremadura,presa fabrica gravedad (hormigon vibrado),503.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1019
119,mino   sil,albarellos,91.0,1,42.3997502070001,-8.19041297799993,mino sil,rio avia,,,,orense,galicia,presa fabrica boveda,267.0,90.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=124
120,mino   sil,edrada mao,15.0,1,,,,,,,,orense,galicia,,,,
121,duero,aguilar campoo,247.0,0,42.7950910920001,-4.28734412199998,duero,rio pisuerga,,,,palencia,castilla y leon,presa fabrica gravedad (hormigon vibrado),840.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=341
122,duero,aldeadavila,115.0,1,41.211678448,-6.68578589399993,duero,rio duero,,,https://www.wikidata.org/wiki/Q43551868,salamanca,castilla y leon,presa fabrica arco gravedad,662.12,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=394
124,duero,camporredondo,70.0,0,42.8991049300001,-4.73748905099995,duero,rio carrion,,,,palencia,castilla y leon,presa fabrica mamposteria,840.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=343
126,duero,castro,38.0,1,39.8064449990001,-3.75294972199993,tajo,rio algodor,,,,toledo,castilla   mancha,presa fabrica gravedad (hormigon vibrado),689.879999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=900
127,duero,linares arroyo,58.0,0,41.527351971,-3.55592977299995,duero,rio riaza,,,,segovia,castilla y leon,presa fabrica gravedad (hormigon vibrado),955.22,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=420
129,duero,ricobayo,1200.0,1,41.527467749,-5.98543277699997,duero,rio esla,,https://www.openstreetmap.org/relation/1232049,https://www.wikidata.org/wiki/Q23993005,zamora,castilla y leon,presa fabrica gravedad (hormigon vibrado),839.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=482
133,tajo,navacerrada,11.0,0,40.7150019000001,-4.00500334299994,tajo,rio navacerrada,,,,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),1088.09999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=827
135,tajo,salor,14.0,0,39.363901431,-6.30464727599997,tajo,rio salor,https://www.google.com/search?kgmid=/g/11h70_p1q2,,https://www.wikidata.org/wiki/Q63384116,caceres,extremadura,presa fabrica gravedad (hormigon vibrado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=608
137,segura,anchuricas,8.0,1,,,,,,,,jaen,andalucia,,,,
138,segura,pedrera,246.0,0,38.032750505,-0.875543668999967,segura,arroyo grande,,,,alicante,comunitat valenciana,presa materiales sueltos homogenea,110.54,65.54,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2022
141,jucar,regajo,6.0,0,39.8898591060001,-0.524556912999969,jucar,riu palancia,,,,castellon,comunitat valenciana,presa fabrica gravedad (hormigon vibrado),406.529999999999,27.53,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2260
142,ebro,camarasa,163.0,1,41.9079463640001,0.88683086900005,ebro,noguera pallaresa,,,,lleida,cataluna,presa fabrica gravedad (hormigon vibrado),337.17,103.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2555
143,ebro,ebro,541.0,0,42.969946861,-4.05169448199996,ebro,rio ebro,https://www.google.com/search?kgmid=/g/1213trv6,https://www.openstreetmap.org/relation/1843373,https://www.wikidata.org/wiki/Q8775418,cantabria,cantabria,presa fabrica mamposteria,840.0,34.14,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2756
144,ebro,fitas,9.0,0,,,,,,,,huesca,aragon,,,,
145,ebro,sallente,6.0,1,42.5003709690001,0.991459934000034,ebro,barranc lora,,,,lleida,cataluna,presa materiales sueltos pantalla asfaltica,1770.0,89.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2580
148,ebro,sistema capdella,50.0,1,,,,,,,,lleida,cataluna,,,,
149,ebro,ullivarri,147.0,1,42.9292733350001,-2.61677326299997,ebro,zadorra ibaia,,,,alava,pais vasco,presa fabrica contrafuertes,548.0,37.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2375
151,cantabrico occidental,barca,35.0,1,,,,,,,,asturias,principado asturias,,,,
155,guadalquivir,carpio,20.0,1,,,,,,,,cordoba,andalucia,,,,
156,guadalquivir,dona aldonza,23.0,1,,,,,,,,jaen,andalucia,,,,
157,guadalquivir,fresneda,19.0,0,38.558512121,-3.62973097799994,guadalquivir,rio  jandula o fresneda o jorge,,,,ciudad real,castilla   mancha,presa fabrica arco gravedad,719.549999999999,37.5499999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1420
159,guadalquivir,guadalmena,347.0,0,38.3634923170001,-2.91397881899996,guadalquivir,rio  guadalmena,https://www.google.com/search?kgmid=/g/11gbf4ybkn,https://www.openstreetmap.org/relation/6027280,https://www.wikidata.org/wiki/Q39163065,jaen,andalucia,presa fabrica gravedad (hormigon vibrado),956.299999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1582
160,guadalquivir,huesna,138.0,0,37.769635302,-5.68521394399994,guadalquivir,rivera huesna,,,,sevilla,andalucia,presa materiales sueltos pantalla asfaltica,143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1679
161,guadalquivir,marmolejo,13.0,1,,,,,,,,jaen,andalucia,,,,
162,guadalquivir,puente nuevo,286.0,0,38.08606718,-4.92546965099996,guadalquivir,rio  guadiato,,,https://www.wikidata.org/wiki/Q92358754,cordoba,andalucia,presa fabrica gravedad (hormigon vibrado),447.0,56.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1426
164,guadalquivir,siles,30.0,0,,,,,,,,jaen,andalucia,,,,
170,guadiana,boqueron,6.0,0,39.1511076260001,-6.41827824299997,guadiana,regato rosal,,,,badajoz,extremadura,presa fabrica gravedad (hormigon vibrado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=937
171,guadiana,chanza,386.0,0,37.5584664020001,-7.52075869499993,guadiana,rivera chanza,https://www.google.com/search?kgmid=/g/121jcccq,,https://www.wikidata.org/wiki/Q8775414,huelva,andalucia,presa fabrica gravedad (hormigon vibrado),10.34,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1249
172,guadiana,montijo,11.0,0,38.9236610560001,-6.42868094199997,guadiana,rio guadiana,,,,badajoz,extremadura,presa fabrica gravedad (hormigon vibrado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1027
173,guadiana,penarroya,51.0,0,39.0603072490001,-3.00679625799995,guadiana,rio guadiana,https://www.google.com/search?kgmid=/g/11fv3ymg__,,https://www.wikidata.org/wiki/Q97172835,ciudad real,castilla   mancha,presa fabrica gravedad (hormigon vibrado),719.549999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1106
177,mino   sil,campanana,14.0,1,42.498086748,-6.76967359799994,mino sil,arroyo balen,https://www.google.com/search?kgmid=/g/1203m01h4,,https://www.wikidata.org/wiki/Q5830421,leon,castilla y leon,presa fabrica gravedad (hormigon vibrado),528.35,50.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=51
178,mino   sil,portas,536.0,1,42.1144376730001,-7.20922708099994,mino sil,rio camba,,,,orense,galicia,presa fabrica boveda,886.0,141.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=129
