code,name,reservoir,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
4100012,ruecas,ruecas,39.267439745,-5.49598021299994,guadiana,rio ruecas,,,,caceres,extremadura,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1062
1360002,frieira,frieira,42.1557461190001,-8.19287681099996,mino sil,rio mino,,,,ourense,galicia,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=168
5110032,celemin,embalse celemin,36.299322019,-5.77443215499994,guadalete y barbate,,,,https://www.wikidata.org/wiki/Q5369436,cadiz,andalucia,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1357
5110019,celemin,embalse celemin,36.299694549,-5.77701724999997,guadalete y barbate,rio celemin,,,https://www.wikidata.org/wiki/Q5369436,cadiz,andalucia,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1344
7300035,algeciras  rambla,algeciras  rambla,37.887515039,-1.38566705299996,segura,rambla algeciras,,,,murcia,region murcia,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2071
1490003,san sebastian,san sebastian,42.1443419570001,-6.94769548399995,mino sil,rio bibei,,,,ourense,galicia,presa fabrica contrafuertes,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=206
3100053,rivera gata,rivera gata,40.1331552600001,-6.64763777499996,tajo,rivera gata,,,,caceres,extremadura,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=587
3100055,rivera gata,rivera gata,40.133555319,-6.64914969899996,tajo,rivera gata,,,,caceres,extremadura,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=589
3100057,rivera gata,rivera gata,40.13470955,-6.65231398199995,tajo,vertiente por margen izquierda arroyo peralejos,,,,caceres,extremadura,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=591
3100060,rivera gata,rivera gata,40.1363966490001,-6.63871159399997,tajo,rivera gata,,,,caceres,extremadura,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=594
3100058,rivera gata,rivera gata,40.136254439,-6.63615789899995,tajo,rivera gata,,,,caceres,extremadura,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=592
3100059,rivera gata,rivera gata,40.1343097810001,-6.62565077899995,tajo,rivera gata,,,,caceres,extremadura,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=593
