real_name
"Embalse de la Fernandina, La Carolina, Jaén, Andalucía, España"
"Embalse de la Puebla de Cazalla, Villanueva de San Juan, Sevilla, Andalucía, España"
"UR 1AB Embalse, Urbanización Villas del Lago, Cortijuelos, Viñuela, La Axarquía, Málaga, Andalucía, 29712, España"
"Embalse de Rules, Órgiva, Partido Judicial de Órgiva, Granada, Andalucía, España"
"Río Búrdalo, Santa Amalia, Badajoz, Extremadura, España"
"Embalse de Marisánchez - La Cabezuela, Valdepeñas, Ciudad Real, Castilla-La Mancha, España"
"Embalse de Castrelo de Miño, Trasariz, Xubín, Cenlle, Ribeiro, Orense, Galicia, 32459, España"
"Río da Cenza, Chaguazoso, Vilariño de Conso, Viana, Orense, Galicia, España"
"Embalse de Vilasouto, Eirexalba, O Incio, Sarria, Lugo, Galicia, España"
"Embalse de El Burguillo, El Barraco, Ávila, Castilla y León, España"
"Embalse de Entrepeñas, Chillarón del Rey, Guadalajara, Castilla-La Mancha, España"
"Embalse de Valdeobispo, Santibáñez el Bajo, Cáceres, Extremadura, España"
"Calle Pantano de Talave, Punta Brava, Lentiscar, Cartagena, Campo de Cartagena y Mar Menor, Región de Murcia, 30368, España"
"Embalse de Arenós, Montanejos, El Alto Mijares, Castellón, Comunidad Valenciana, 12448, España"
"Presa de Cortes II, Cortes de Pallás, El Valle de Cofrentes-Ayora, Valencia, Comunidad Valenciana, España"
"Embalse de Contreras, La Pesquera, La Plana de Utiel-Requena, Valencia, Castilla-La Mancha, España"
"Embalse de Guadalest, Beniardá, La Marina Baja, Alicante, Comunidad Valenciana, España"
"Embalse de Ulldecona, Mas del Retor, Puebla de Benifasar, Bajo Maestrazgo, Castellón, Comunidad Valenciana, España"
"Embalse de Barasona, Graus, Ribagorza, Huesca, Aragón, España"
"Embalse de Calanda, Calanda, Bajo Aragón, Aragón, España"
"Embalse de Cueva Foradada, Alcaine, Cuencas Mineras, Andorra-Sierra de Arcos, Aragón, España"
"Presa de Cavallers, la Vall de Boí, Alta Ribagorza, Cataluña, 25528, España"
"Presa de Puente de Santolea, Castellote, Maestrazgo, Aragón, España"
"Embalse de San Salvador, Binaced, Cinca Medio, Huesca, Aragón, España"
"Urdalur, Ciordia, Sakana, España"
Sistema Lagos Espot
